Year,Author,Fo,peak,name,celsius,GPa ,hours,fO2Buffer,logf02,orientation,log10D,Experiment,mechanism,polarized IR
in prep,Ferriss,87.7,3600,SC1-2,800,0.0001,68,Ni-NiO-2.8,-16.75,a,-11.8,dehydration,[Si],"yes, E || a"
in prep,Ferriss,87.7,3600,SC1-2,800,0.0001,68,Ni-NiO-2.8,-16.75,b,-12.3,dehydration,[Si],"yes, E || a"
in prep,Ferriss,87.7,3600,SC1-2,800,0.0001,68,Ni-NiO-2.8,-16.75,c,-11.9,dehydration,[Si],"yes, E || a"
,,,,,,,,,,,,,,
in prep,Ferriss,86.2,bulk H,kiki,800,0.0001,1,Ni-NiO-2.8,,a,-12,dehydration,pv (max),
in prep,Ferriss,86.2,bulk H,kiki,800,0.0001,1,Ni-NiO-2.8,,b,13.319,dehydration,pv (max),
in prep,Ferriss,86.2,bulk H,kiki,800,0.0001,1,Ni-NiO-2.8,,c,-12.874,dehydration,pv (max),
in prep,Ferriss,86.2,3356,kiki,800,0.0001,1,Ni-NiO-2.8,,a,-10,dehydration,[tri],
in prep,Ferriss,86.2,3356,kiki,800,0.0001,1,Ni-NiO-2.8,,b,13.319,dehydration,[tri],
in prep,Ferriss,86.2,3356,kiki,800,0.0001,1,Ni-NiO-2.8,,c,-12.874,dehydration,[tri],
in prep,Ferriss,86.2,3525,kiki,800,0.0001,1,Ni-NiO-2.8,,a,-12.5,dehydration,[Ti] (max),
in prep,Ferriss,86.2,3525,kiki,800,0.0001,1,Ni-NiO-2.8,,b,13.319,dehydration,[Ti] (max),
in prep,Ferriss,86.2,3525,kiki,800,0.0001,1,Ni-NiO-2.8,,c,-12.874,dehydration,[Ti] (max),
in prep,Ferriss,86.2,3600,kiki,800,0.0001,1,Ni-NiO-2.8,,a,-12.5,dehydration,[Si] (max),
in prep,Ferriss,86.2,3600,kiki,800,0.0001,1,Ni-NiO-2.8,,b,13.319,dehydration,[Si] (max),
in prep,Ferriss,86.2,3600,kiki,800,0.0001,1,Ni-NiO-2.8,,c,-12.874,dehydration,[Si] (max),
in prep,Ferriss,86.2,bulk H,kiki,800,0.0001,8,Ni-NiO-2.8,,a,-12,dehydration,pv (max),
in prep,Ferriss,86.2,bulk H,kiki,800,0.0001,8,Ni-NiO-2.8,,b,-12.3,dehydration,pv (max),
in prep,Ferriss,86.2,bulk H,kiki,800,0.0001,8,Ni-NiO-2.8,,c,-11.9,dehydration,pv (max),
in prep,Ferriss,86.2,3356,kiki,800,0.0001,8,Ni-NiO-2.8,,a,-10,dehydration,[tri],
in prep,Ferriss,86.2,3356,kiki,800,0.0001,8,Ni-NiO-2.8,,b,-12.3,dehydration,[tri],
in prep,Ferriss,86.2,3356,kiki,800,0.0001,8,Ni-NiO-2.8,,c,-11.9,dehydration,[tri],
in prep,Ferriss,86.2,3525,kiki,800,0.0001,8,Ni-NiO-2.8,,a,-12.5,dehydration,[Ti] (max),
in prep,Ferriss,86.2,3525,kiki,800,0.0001,8,Ni-NiO-2.8,,b,-12.3,dehydration,[Ti] (max),
in prep,Ferriss,86.2,3525,kiki,800,0.0001,8,Ni-NiO-2.8,,c,-11.9,dehydration,[Ti] (max),
in prep,Ferriss,86.2,3600,kiki,800,0.0001,8,Ni-NiO-2.8,,a,-12.5,dehydration,[Si] (max),
in prep,Ferriss,86.2,3600,kiki,800,0.0001,8,Ni-NiO-2.8,,b,-12.3,dehydration,[Si] (max),
in prep,Ferriss,86.2,3600,kiki,800,0.0001,8,Ni-NiO-2.8,,c,-11.9,dehydration,[Si] (max),
in prep,Ferriss,86.2,bulk H,kiki,1000,0.0001,3,Ni-NiO-2.8,-16.75,a,-10.73,dehydration,pv,
in prep,Ferriss,86.2,bulk H,kiki,1000,0.0001,3,Ni-NiO-2.8,-16.75,b,-12.09,dehydration,pv,
in prep,Ferriss,86.2,bulk H,kiki,1000,0.0001,3,Ni-NiO-2.8,-16.75,c,-11.68,dehydration,pv,
in prep,Ferriss,86.2,3356,kiki,1000,0.0001,3,Ni-NiO-2.8,-16.75,a,-11.028,dehydration,[tri],
in prep,Ferriss,86.2,3356,kiki,1000,0.0001,3,Ni-NiO-2.8,-16.75,b,-12.3567,dehydration,[tri],
in prep,Ferriss,86.2,3356,kiki,1000,0.0001,3,Ni-NiO-2.8,-16.75,c,-11.728,dehydration,[tri],
in prep,Ferriss,86.2,3525,kiki,1000,0.0001,3,Ni-NiO-2.8,-16.75,a,-11.028,dehydration,[Ti],
in prep,Ferriss,86.2,3525,kiki,1000,0.0001,3,Ni-NiO-2.8,-16.75,b,-12.3567,dehydration,[Ti],
in prep,Ferriss,86.2,3525,kiki,1000,0.0001,3,Ni-NiO-2.8,-16.75,c,-11.728,dehydration,[Ti],
in prep,Ferriss,86.2,3600,kiki,1000,0.0001,3,Ni-NiO-2.8,-16.75,a,-10.607,dehydration,[Si],
in prep,Ferriss,86.2,3600,kiki,1000,0.0001,3,Ni-NiO-2.8,-16.75,b,-11.974,dehydration,[Si],
